layer_name,prompt,timestep_index,num_same_pairs,num_different_pairs,mean_same_identity_cosine_distance,mean_different_identity_cosine_distance,mean_same_identity_euclidean_distance,mean_different_identity_euclidean_distance,identity_separation,identity_auc,best_verification_threshold,best_verification_accuracy,equal_error_rate
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.1,add black sunglasses,3,45,945,0.0007564796341790093,0.0008342493148077102,0.03237043752645453,0.03483345211636295,7.776968062870085e-05,0.5482774838330394,1.86102294921875e-06,0.9545454545454546,0.46772486772486777
unet.up_blocks.1.attentions.1.transformer_blocks.0,add headphones,6,45,945,0.000741083092159695,0.0008181797133551703,0.03157555961774455,0.03426493307447465,7.709662119547529e-05,0.5529570840681952,3.075599670410156e-05,0.9555555555555556,0.4666666666666667
unet.down_blocks.0.attentions.1.transformer_blocks.0.ff.net.1,add black sunglasses,3,45,945,0.0008520126342773437,0.0009286312199143506,0.03444622349407938,0.03707181419487353,7.661858563700686e-05,0.5504291593180483,2.1576881408691406e-05,0.9555555555555556,0.4888888888888889
unet.up_blocks.1.attentions.1.transformer_blocks.0,add black sunglasses,6,45,945,0.0007510013050503201,0.0008266278675624302,0.031670238595041963,0.03432315747948393,7.56265625121101e-05,0.552392710170488,3.11732292175293e-05,0.9555555555555556,0.4666666666666667
unet.down_blocks.0.attentions.1.transformer_blocks.0.ff.net.1,add black sunglasses,6,45,945,0.0008386347028944228,0.0009133306129899605,0.033494977673722635,0.03601548264010085,7.469591009553773e-05,0.546278659611993,2.7312206268310546e-05,0.9545454545454546,0.4666666666666667
unet.up_blocks.2.attentions.1.transformer_blocks.0.ff.net.0.proj,add black sunglasses,6,45,945,0.0006266925070020887,0.0007013525912370631,0.02900080672568745,0.031083783766540585,7.46600842349744e-05,0.5356848912404468,1.4079975128173828e-05,0.9545454545454546,0.4666666666666667
unet.up_blocks.2.attentions.1.transformer_blocks.0.ff.net.0.proj,add headphones,6,45,945,0.0006235069698757596,0.0006979983319681158,0.028894307278096675,0.03098417201606685,7.44913620923562e-05,0.5354027042915932,1.3901161193847656e-05,0.9545454545454546,0.4666666666666667
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,add headphones,10,45,945,0.0009779347313774956,0.0010522004788514798,0.03480324065312743,0.03717152050637182,7.426574747398419e-05,0.5352145796590241,4.483627319335938e-06,0.9545454545454546,0.4444444444444444
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,add black sunglasses,10,45,945,0.0009722669919331868,0.001046240077447639,0.034698294868899714,0.03705746068535422,7.397308551445215e-05,0.5349911816578483,4.781650543212891e-06,0.9545454545454546,0.4444444444444444
unet.up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v,add black sunglasses,14,45,945,0.0009920199712117512,0.001064590297678791,0.03473771333487497,0.03690645261396649,7.25703264670397e-05,0.529617871840094,2.6358833312988284e-06,0.9545454545454546,0.44656084656084655
unet.up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v,add headphones,14,45,945,0.0009899271859063043,0.0010620118448973963,0.034718289919611484,0.03687374059445959,7.208465899109198e-05,0.5293827160493827,2.695487976074219e-06,0.9545454545454546,0.4476190476190476
